酒名英文字段,年份字段,单价字段,散支字段,整箱字段,整箱规格字段,净含量字段,官网链接,供货商,供货商代码,上传时间
Dom Perignon P2 2000,2000.0,3099,4,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon P2 2002,2002.0,3145,0,4,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon Rose 2002,2002.0,3145,2,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon Rose 2003,2003.0,2498,0,1,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Perignon Rose 2009,2009.0,2405,0,3,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Dom Ruinart Brut Rose,,555,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Duval-Leroy Femme de Champagne 1996,1996.0,1943,0,1,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Henri Giraud, ""Argonne"" Ay Vintage Champagne 2002",2002.0,5504,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Jacques Selosse Version Originale, Blanc de Blanc Extra Brut Grand Cru",,3885,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug (Gift Box) 2004,2004.0,2868,5,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug (Gift Box) 2004,2004.0,2452,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug 1996,1996.0,5180,0,2,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug 2002,2002.0,3885,5,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug 2002,2002.0,0,0,2,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug 2002,2002.0,0,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug 2003,2003.0,2637,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug 2006,2006.0,2544,1,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug 2006,2006.0,2775,0,5,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug 2006,2006.0,2544,4,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug 2006,2006.0,0,1,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug Clos du Mesnil 1998,1998.0,12765,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug Grande Cuvee 168 eme Edition,,1804,2,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Krug Grande Cuvee 168 eme Edition,,10545,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"La Grande Dame, Yayoi Kusama, Veuve Clicquot 2012",2012.0,1342,2,6,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Pol Roger - Sir Winston Churchill 2002 (gift box),2002.0,2313,1,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Pol Roger - Sir Winston Churchill 2006,2006.0,1712,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Pol Roger - Sir Winston Churchill 2008 (gift box),2008.0,2313,0,3,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Pol Roger - Sir Winston Churchill 2013,2013.0,1712,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Salon Le Mesnil (Magnum) 1997,1997.0,18315,0,2,1,1500,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Salon Le Mesnil 1996,1996.0,11100,5,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Salon Le Mesnil 1999,1999.0,9065,4,2,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Salon Le Mesnil 2002,2002.0,9065,5,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Salon Le Mesnil 2007,2007.0,7863,0,1,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Salon Le Mesnil 2012,2012.0,0,0,6,1,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Salon Le Mesnil 2013,2013.0,0,0,1,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Salon Le Mesnil 2013,2013.0,0,0,1,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Taittinger Comtes de Champagne 2004,2004.0,1342,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Taittinger Comtes de Champagne 2005,2005.0,1110,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Taittinger Comtes de Champagne 2012,2012.0,1249,0,2,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Fonseca Vintage Port 1970,1970.0,1388,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Taylor Fladgate Vintage Port 1992,1992.0,1527,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Auxey Duresses,1er,Les Reugnes,Thierry Violot Guillemard 2011",2011.0,417,0,1,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Barbaresco Gaja 2014,2014.0,1388,0,2,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Barbaresco Gaja 2015,2015.0,1665,0,3,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Beaucastel Chateauneuf du Pape Hommage A Jacques Perrin 2007,2007.0,3793,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 1998,1998.0,18963,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2002,2002.0,22663,1,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2004,2004.0,14800,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2006,2006.0,14985,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2006,2006.0,0,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2007,2007.0,13875,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2008,2008.0,15263,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2008,2008.0,0,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2014,2014.0,12488,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2014,2014.0,0,3,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2015,2015.0,16650,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2015,2015.0,0,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2016,2016.0,15078,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2017,2017.0,11655,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2018,2018.0,12488,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2018,2018.0,12488,5,1,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Bonnes Mares - Georges Roumier 2020,2020.0,13875,3,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Bonnes Mares, Grand Cru, Domaine Dujac 2010",2010.0,11563,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Bonnes Mares, Grand Cru, Domaine Dujac 2020",2020.0,11840,0,2,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Bonnes Mares,Grand Cru,Albert Bichot 2010",2010.0,1758,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Brunello di Montaclino, Case Basse di Gianfranco Soldera 1993",1993.0,7215,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Brunello di Montalcino, Case Basse di Gianfranco Soldera 2014",2014.0,5828,0,2,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Brunello di Montalcino, Case Basse di Gianfranco Soldera 2015",2015.0,5458,1,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Brunello di Montalcino, Fuligni 2004",2004.0,787,3,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Capitel Fontana Reciolo Della Valpolicella Classico - TEDESCHI,2015.0,0,3,0,6,500,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Cepparello, Isole e Olena 2007",2007.0,740,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambertin Camille Giroud 2005,2005.0,3423,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin Clos de Beze, Joseph Drouhin 2011",2011.0,2405,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin Clos de Beze,Grand Cru,Armand Rousseau Pere et Fils 1996",1996.0,22663,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin Clos de Beze,Grand Cru,Armand Rousseau Pere et Fils 2017",2017.0,20350,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin Clos de Beze,Grand Cru,Armand Rousseau Pere et Fils 2018",2018.0,24050,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin VV, Grand Cru, Perrot Minot 2011",2011.0,6938,6,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin,Grand Cru,Armand Rousseau Pere et Fils 1995",1995.0,24975,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin,Grand Cru,Armand Rousseau Pere et Fils 1996",1996.0,32375,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin,Grand Cru,Armand Rousseau Pere et Fils 2006",2006.0,25900,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin,Grand Cru,Armand Rousseau Pere et Fils 2017",2017.0,23125,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin,Grand Cru,Armand Rousseau Pere et Fils 2018",2018.0,24050,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin,Grand Cru,Armand Rousseau Pere et Fils 2018",2018.0,24050,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambertin,Grand Cru,Maison Roche de Bellene 2010",2010.0,1850,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny 1er Cru Combe d'Orveau - Taupenot Merme 2009,2009.0,1110,5,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny 1er Cru Feusselottes - Meo Camuzet 2017,2017.0,1203,5,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny Alain Hudelot Noellat 2012,2012.0,879,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny Alain Hudelot Noellat 2017,2017.0,879,6,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny Charmes Alain Hudelot Noellat 2015,2015.0,2082,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny Domaine Ghislaine Barthod 2009,2009.0,1157,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny Feusselottes Geantet Pansiot 2015,2015.0,1110,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny Les Cabottes, Domaine Cecile Tremblay 2017",2017.0,3885,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny Les Gruenchers Domaine Dujac 2018,2018.0,3099,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny Les Gruenchers VV, Fourrier 2012",2012.0,2544,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny Vieilles Vignes Fourrier 2012,2012.0,1295,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny Vieilles Vignes Fourrier 2013,2013.0,1295,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny Vieilles Vignes Fourrier 2015,2015.0,1665,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny les Cras, Georges Roumier 2008",2008.0,5643,2,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny les Cras, Georges Roumier 2008",2008.0,0,2,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny les Cras, Georges Roumier 2014",2014.0,5088,1,0,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny les Cras, Georges Roumier 2014",2014.0,6290,1,0,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny les Cras, Georges Roumier 2018",2018.0,5458,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny les Cras, Georges Roumier 2020",2020.0,5874,9,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny les Fuees - J F Mugnier 2006,2006.0,5967,3,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny les Fuees - J F Mugnier 2017,2017.0,5273,3,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chambolle Musigny les Fuees - J F Mugnier 2018,2018.0,4903,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny, 1er, Comte Georges de Vogue 2005",2005.0,3932,4,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny, 1er, Comte Georges de Vouge 2008",2008.0,3654,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny, 1er, Comte Georges de Vouge 2010",2010.0,4024,2,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny, 1er, Comte Georges de Vouge 2011",2011.0,3053,1,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny, Meo Camuzet 2019",2019.0,1110,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Aux Beaux Bruns,Ghislaine Barthod 2017",2017.0,1295,4,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Amoureuses - J F Mugnier 2009",2009.0,21275,5,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Amoureuses - J F Mugnier 2012",2012.0,24513,5,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Amoureuses, Georges Roumier 2009",2009.0,39313,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Amoureuses, Georges Roumier 2018",2018.0,30525,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Amoureuses, Joseph Drouhin 2011",2011.0,3793,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Amoureuses, Joseph Drouhin 2016",2016.0,4394,0,1,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Amoureuses, Joseph Drouhin 2017",2017.0,4348,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Amoureuses, Lucien Le Moine 2014",2014.0,3007,3,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Amoureuses,Georges de Vouge 1993",1993.0,13413,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Amoureuses,Georges de Vouge 1996",1996.0,9065,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Fuees,Ghislaine Barthod 2011",2011.0,1527,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,Les Veoilles,Ghislaine Barthod 2014",2014.0,1712,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chambolle Musigny,1er,les Combottes, Georges Roumier 2011",2011.0,9065,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chapelle Chambertin Claude Dugat 2015,2015.0,6013,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chapelle Chambertin Claude Dugat 2018,2018.0,6105,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chapelle Chambertin,Grand Cru, Perrot Minot 2010",2010.0,3145,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chapelle Chambertin,Grand Cru,Domaine Ponsot 2005",2005.0,3423,3,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Chapelle Chambertin,Grand Cru,Domaine Ponsot 2009",2009.0,3515,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Charmes Chambertin Claude Dugat 2011,2011.0,3700,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Charmes Chambertin Claude Dugat 2016,2016.0,4255,6,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Charmes Chambertin Claude Dugat 2017,2017.0,3515,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Charmes Chambertin Domaine Arlaud 2018,2018.0,1295,3,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Charmes Chambertin Domaine Dujac 2011,2011.0,5088,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Charmes Chambertin Domaine Dujac 2016,2016.0,4995,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Charmes Chambertin Domaine Dujac 2020,2020.0,5458,0,2,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Charmes Chambertin Domaine Duroche 2014,2014.0,2775,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Charmes Chambertin Tres Vieilles Vignes Joseph Roty 1997,1997.0,3839,3,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Charmes Chambertin aux Mazoyeres, Georges Roumier 2013",2013.0,7400,1,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Charmes Chambertin,Grand Cru,Armand Rousseau Pere et Fils 1996",1996.0,7030,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Charmes Chambertin,Grand Cru,Armand Rousseau Pere et Fils 2009",2009.0,6383,2,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Charmes Chambertin,Grand Cru,Armand Rousseau Pere et Fils 2016",2016.0,6013,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Charmes Chambertin,Grand Cru,Armand Rousseau Pere et Fils 2017",2017.0,5920,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Charmes Chambertin,Grand Cru,Armand Rousseau Pere et Fils 2018",2018.0,5643,1,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
"Charmes Chambertin,Grand Cru,Armand Rousseau Pere et Fils 2018",2018.0,5643,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chateau Ausone 2006,2006.0,3885,2,0,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chateau Ausone 2006,2006.0,0,0,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chateau Ausone 2006,2006.0,0,0,1,3,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chateau Batailley 2012,2012.0,518,4,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chateau Branon 2009,2009.0,879,2,1,6,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
Chateau Calon Segur 2009,2009.0,1064,6,0,12,750,http://www.wineac.com/eshop/,A.C Wine (003),003,2025-04-13 13:19:43
