酒名英文字段,酒名中文字段,年份字段,单价字段,散支字段,官网链接,供货商,供货商代码,上传时间
"Corton Charlemagne, Dugat Py",杜加. 科尔登查里曼 干白,2021.0,5200.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chambertin Clos de Beze, Faiveley (owc)",法维莱. 香贝丹贝日园 (原箱),2018.0,2600.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Gevrey Chambertin Mes Cinq Terroirs, Denis Mortet",丹尼斯 摩顿. 哲维瑞香贝丹 五块田 村酒,2015.0,1100.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Gevrey Chambertin Mes Cinq Terroirs, Denis Mortet",丹尼斯 摩顿. 哲维瑞香贝丹 五块田 村酒,2013.0,950.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Mazoyeres Chambertin, Perrot Minot",Perrot Minot. 玛泽耶 香贝丹,2017.0,3800.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault 1er Clos des Perrieres, Albert Grivault",阿贝尔 格里沃. 默尔索 一级园 Clos des Perrieres,2019.0,1450.0,9,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault 1er Les Genevrieres, Francois Mikulski",米库斯基. 默尔索 一级园 Genevrieres,2017.0,2000.0,18,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault 1er Perrieres, Albert Grivault",阿贝尔 格里沃. 默尔索 一级园 石头园,2018.0,1300.0,30,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault 1er Perrieres, Albert Grivault",阿贝尔 格里沃. 默尔索 一级园 石头园,2018.0,1300.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault 1er Sous Le Dos d'Ane, Leflaive (owc)",勒弗莱. 默尔索 一级园 Sous le Dos d'Ane (原箱),2015.0,2550.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault Clos des Ambres, Arnaud Ente",阿诺 安特. 默尔索 Clos des Ambres,2019.0,6900.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault Desiree, Comtes Lafon",拉芳. 默尔索 Desiree 村酒,2020.0,1950.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault Les Chevalieres, Coche Dury",科奇. 默尔索 Les Chevalieres 村酒,2001.0,15000.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault Les Corbins, Vincent Dancer",文森 特丹瑟. 默尔索 Les Corbins 村酒,2019.0,1800.0,4,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault Les Grands Charrons, Bernard Boisson Vadot",Bernard Boisson Vadot. 默尔索 Les Grands Charrons 村酒,2010.0,3300.0,8,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Meursault, Arnaud Ente",阿诺 安特. 默尔索 村酒 村酒,2011.0,5900.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis 1er Clos de la Bussiere, Georges Roumier",乔治 卢米. 莫雷圣德尼 一级园 Clos de la Bussiere,2016.0,2950.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis 1er Clos de la Bussiere, Georges Roumier (ocb)",乔治 卢米. 莫雷圣德尼 一级园 Clos de la Bussiere (原箱),2012.0,2650.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis 1er Cru, Dujac",杜雅克. 莫雷圣德尼 一级园,2022.0,2000.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis 1er Cru, Dujac",杜雅克. 莫雷圣德尼 一级园,2021.0,2100.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis 1er Cuvee des Alouettes, Ponsot",彭索. 莫雷圣德尼 一级园 Cuvee des Alouettes,2018.0,1200.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis, Dujac",杜雅克. 莫雷圣德尼 村酒,2017.0,1550.0,9,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis, Dujac",杜雅克. 莫雷圣德尼 村酒,2014.0,1450.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis, Dujac",杜雅克. 莫雷圣德尼 村酒,2012.0,1650.0,11,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis, Dujac",杜雅克. 莫雷圣德尼 村酒,2012.0,1650.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis, Dujac",杜雅克. 莫雷圣德尼 村酒,2008.0,1900.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis, Dujac",杜雅克. 莫雷圣德尼 村酒,2004.0,2600.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Morey St Denis, Dujac (ocb)",杜雅克. 莫雷圣德尼 村酒 (原箱),2008.0,1900.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Nuits St Georges 1er Clos des Argillieres, Prieure Roch",菜刀. 夜圣乔治 一级园 Argillieres,2015.0,7500.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Nuits St Georges 1er Clos des Corvees VV, Prieure Roch",菜刀. 夜圣乔治 一级园 科维园 老藤,2019.0,5000.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Nuits St Georges 1er Les Vaucrains, Robert Chevillon",罗伯特 夏维农. 夜圣乔治 一级园 Les Vaucrains,2017.0,1100.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Nuits St Georges 1er VV, Prieure Roch",菜刀. 夜圣乔治 一级园 老藤,2013.0,5000.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Pommard 1er Clos des Epeneaux, Comte Armand (ocb)",Comte Armand. 玻玛 一级园 Grands Clos des Epeneaux (原箱),2005.0,1800.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Batard Montrachet, Leflaive",勒弗莱. 巴塔 蒙哈榭,2012.0,9300.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Batard Montrachet, Thierry Pillot",Thierry Pillot. 巴塔 蒙哈榭,2018.0,4300.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Bienvenues Batard Montrachet, Leflaive (owc)",勒弗莱. 碧维妮 巴塔 蒙哈榭 (原箱),2013.0,7000.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Bienvenues Batard Montrachet, Ramonet",拉梦奈. 碧维妮 巴塔 蒙哈榭,2019.0,7500.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chevalier Montrachet, Leflaive",勒弗莱. 骑士 蒙哈榭,2020.0,12800.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chevalier Montrachet, Leflaive",勒弗莱. 骑士 蒙哈榭,2019.0,12000.0,7,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chevalier Montrachet, Leflaive",勒弗莱. 骑士 蒙哈榭,2004.0,8500.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chevalier Montrachet, Marc Morey",Marc Morey. 骑士 蒙哈榭,2009.0,4800.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chevalier Montrachet, Michel Niellon",Michel Niellon. 骑士 蒙哈榭,2009.0,5200.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Chevalier Montrachet, Vincent Girardin",⽂森 吉拉丹. 骑士 蒙哈榭,2012.0,3800.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet 1er Clavoillon, Leflaive",勒弗莱. 普里尼蒙哈榭 一级园 克拉维蓉,2015.0,3100.0,4,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet 1er Le Cailleret, Domaine de Montille",德蒙蒂. 普里尼蒙哈榭 一级园 Les Cailleret,1999.0,1900.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet 1er Les Champs Gains, Colin Morey",PYCM. 普里尼蒙哈榭 一级园 Champs Gains,2013.0,2800.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet 1er Les Combettes, Leflaive",勒弗莱. 普里尼蒙哈榭 一级园 Les Combettes,2016.0,3900.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet 1er Les Folatieres, JL Chavy",JL Chavy. 普里尼蒙哈榭 一级园 Folatieres,2020.0,800.0,19,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet 1er Les Folatieres, Leflaive (owc)",勒弗莱. 普里尼蒙哈榭 一级园 Folatieres (原箱),2018.0,3650.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet 1er Les Folatieres, Pierre Girardin (ocb)",PVG. 普里尼蒙哈榭 一级园 Folatieres (原箱),2019.0,1700.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet 1er Les Folatieres, Pierre Girardin (ocb)",PVG. 普里尼蒙哈榭 一级园 Folatieres (原箱),2017.0,1900.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet 1er Les Pucelles, Leflaive",勒弗莱. 普里尼蒙哈榭 少女园,2019.0,4900.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet 1er Les Pucelles, Marc Morey",Marc Morey. 少女园,2009.0,1700.0,8,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet, Leflaive",勒弗莱. 普里尼蒙哈榭 村酒,2018.0,2100.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet, Leflaive",勒弗莱. 普里尼蒙哈榭 村酒,2015.0,2200.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Puligny Montrachet, Leflaive (owc)",勒弗莱. 普里尼蒙哈榭 村酒 (原葙),2015.0,2000.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Rully 1er Le Meix Cadot, Dureuil Janthial",文森.都杰. 胡伊 一级园 Le Meix Cadot,2019.0,1100.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Rully 1er Les Margotes, Dureuil Janthial",文森.都杰. 胡伊 一级园 Les Margotes,2019.0,980.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Rully Maizieres Blanc, Dureuil Janthial",文森.都杰. 胡伊 Maizieres,2020.0,574.9236075,24,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Saint Veran Cuvee Unique, Guffens Heynen",古芬 海宁. 圣韦朗 Cuvee Unique 村酒,2021.0,900.0,5,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Echezeaux Les Loachausses, Anne Gros",安 葛鲁. 艾希索,2016.0,3300.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Echezeaux, AF Gros (ocb)",AF 葛鲁. 艾希索 (原箱),2019.0,3500.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Echezeaux, DRC",康帝. 大艾希索,2021.0,20500.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Echezeaux, DRC",康帝. 大艾希索,2010.0,24800.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Echezeaux, Gros Frere et Soeur (ocb)",大金杯. 艾希索 (原箱),2019.0,2200.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Grands Echezeaux, DRC",康帝. 大艾希索,2010.0,28500.0,5,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Grands Echezeaux, DRC",康帝. 大艾希索,2006.0,26600.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Grands Echezeaux, Gros Frere et Soeur",大金杯. 大艾希索,2001.0,4300.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"La Tache, DRC",康帝. 拉塔之,2021.0,39000.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"La Tache, DRC",康帝. 拉塔之,2017.0,37000.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Richebourg, AF Gros (ocb)",AF 葛鲁. 李奇堡 (原箱),2019.0,6800.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Romanee St Vivant Les Quatre Journaux, Louis Latour",路易拉图. 圣维旺 Quatre Journaux,2009.0,3500.0,5,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Romanee St Vivant, DRC",康帝. 圣维旺,2017.0,23000.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Vosne Romanee 1er Aux Brulees, Meo Camuzet",米奥. 沃恩罗曼尼 一级园 布雷尔,2016.0,5400.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Vosne Romanee 1er Aux Malconsorts, Dujac (ocb)",杜雅克. 沃恩罗曼尼 一级园 马康索 (原箱),2017.0,4500.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Clos de Vougeot, Francois Lamarche",拉玛舒. 伏旧园,2002.0,2000.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Clos Vougeot, Thibault Liger Belair",帝波. 伏旧园,2009.0,1900.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Ace of Spades Green, Armand de Brignac",黑桃A 绿 香槟,,2400.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Ace of Spades Rose, Armand de Brignac",黑桃A 粉红 香槟,,2300.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Aurelien Lurquin Champagne Chardonnay,,2016.0,3099.6116081249997,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Aurelien Lurquin Champagne Les Crayeres du Levant Meunier,,2014.0,3100.0,4,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Aurelien Lurquin Champagne Les Traverses Chardoannay,,2020.0,3500.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Bollinger La Grande Annee Rose,堡林爵 丰收年份 粉红香槟,1999.0,1800.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Charles Heidsieck Champagne Charlie (giftbox),哈雪香槟 查理,1985.0,6300.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Charles Heidsieck Private Reserves,哈雪香槟 Private Reserves,1980.0,1200.0,4,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Dom Perignon,唐培里侬,1998.0,2300.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Dom Perignon,唐培里侬,1992.0,2750.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Dom Perignon,唐培里侬,1982.0,4500.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Dom Perignon,唐培里侬,1978.0,4650.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Dom Perignon (giftbox),唐培里侬 (礼盒),1990.0,3450.0,3,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Dom Perignon Oenotheque (giftbox),唐培里侬 Oenotheque (礼盒),1996.0,4500.0,9,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Krug,库克 年份,1996.0,4900.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Krug,库克 年份,1995.0,4500.0,14,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Krug (giftbox),库克 年份 (礼盒),1988.0,6750.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Krug (ocb),库克 年份 (原箱),1996.0,4900.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Krug (ocb),库克年份 (原箱),1995.0,4500.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Louis Roederer Cristal (ocb),路易王妃 水晶香槟 (原箱),1999.0,3400.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Piper Heidsieck Rare (ocb),白雪 Rare (原箱),2006.0,1450.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Salon Cuvee 'S' Le Mesnil Blanc de Blancs,沙龙香槟,2007.0,7400.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Salon Cuvee 'S' Le Mesnil Blanc de Blancs,沙龙香槟,1990.0,15000.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Salon Cuvee 'S' Le Mesnil Blanc de Blancs (owc),沙龙香槟 (原箱),2006.0,7650.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Salon Cuvee 'S' Le Mesnil Blanc de Blancs (owc),沙龙香槟 (原箱),2004.0,8500.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Taittinger Comtes de Champagne Rose,泰廷爵 白中白 粉红香槟,2007.0,1250.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"CDP Hommage a Jacques Perrin, Chateau de Beaucastel",博卡斯特. 教皇新堡 Hommage a Jacques Perrin,2013.0,2000.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"CDP Pignan, Rayas",稀雅丝 Pignan,2007.0,3400.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"CDP Reserve Blanc, Rayas",稀雅丝 干白,2013.0,4800.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"CDP Reserve Blanc, Rayas",稀雅丝 干白,2012.0,4900.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"CDP Reserve Blanc, Rayas",稀雅丝 干白,2006.0,5700.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"CDP Reserve, Rayas",稀雅丝,2013.0,7300.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"CDP Reserve, Rayas",稀雅丝,2010.0,7900.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"CDP Reserve, Rayas",稀雅丝,2007.0,7500.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Amarone della Valpolicella Classico, Giuseppe Quintarelli",大Q. 阿玛罗尼,2009.0,2800.0,2,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
"Amarone della Valpolicella Classico, Giuseppe Quintarelli",大Q. 阿玛罗尼,2003.0,3450.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Crystallum Litigo Pinot Noir,,2023.0,500.0,6,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Crystallum Clay Shales Chardonnay,,2023.0,500.0,1,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Crystallum Mabalel Pinot Noir,,2023.0,550.0,11,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
Marcassin Estate Chardonnay (ocb),玛尔卡森酒庄 霞多丽 (原箱),2013.0,5600.0,12,https://www.aplus-wine.com/,A Plus Wine Cellar Co Ltd (002),002,2025-04-13 13:19:35
